claim,page,evidence_source,evidence_owner,verified,expiry_date,publication_status,notes
"Pricing and applications continue through WhatsApp; this website does not take payment.","Global","Current WhatsApp enquiry flow","Repository maintainer",true,,publish,"Verified in route and CTA tests."
"The displayed panel price has no added tax, setup fee or separate panel fee.","Global","Business owner statement, 3 August 2026","Business owner",true,,publish,"Applied to pricing, calculator, footer and policy copy."
"UK-first reseller onboarding and business-planning guidance.","Global","en-GB information architecture and public copy","Repository maintainer",true,,publish,"Verified in route and content tests."
"Owner-confirmed panel prices from £12 per credit with a 10-credit minimum.","/ and /reseller-packages","Business owner statement, 2 August 2026","Business owner",true,,publish,"Seven panel names and prices are published."
"One credit activates one 12-month subscription; orders above 20 credits receive a lower quoted unit price.","/ and /reseller-packages","Business owner statement, 2 August 2026","Business owner",true,,publish,"Exactly 20 credits use displayed unit price × 20."
"Guaranteed margin, profit or ROI","Removed legacy pages and social image","No evidence can guarantee an outcome","Business owner",false,,prohibited,"Calculator reports estimates from user inputs."
"WhatsApp number 212782389820 is the owner-confirmed enquiry destination.","Global CTA and reseller form","Business owner statement recorded in repository implementation","Business owner",true,,publish,"The website opens WhatsApp; successful delivery after the visitor presses Send cannot be verified locally."
"The GetIPTVPanel logo and generated social card may be published as the site's own branding.","Global header, footer and social metadata","Existing repository assets identified as owner-supplied or repository-generated","Business owner / repository maintainer",true,,publish,"No protected broadcaster, league, club or event artwork is present in these assets."
"Third-party panel logo artwork may be published.","Former reseller package cards","No written licence or permission found","Business owner",false,,hold,"Removed from public/ and retained under docs/assets-pending-permission/server-logos until written permission is recorded."
"The UK legality article has received qualified independent legal review.","/is-iptv-legal-in-the-uk","No legal-review record supplied","Business owner",false,,hold,"Page is noindex and excluded from sitemap; official sources were technically checked on 3 August 2026."
"A direct individual subscription is available for sale.","/individual-subscription","Required offer, rights, territory, price, terms and fulfilment data are absent","Business owner",false,,hold,"B2C sales, checkout, Product/Offer schema and indexation remain disabled."
