old_url,source,prior_state,old_intent,notes
"/","Route and sitemap","200","French reseller sales homepage","URL retained; contents replaced with UK B2B homepage."
"/contact","Route and sitemap","200","Contact","URL retained; contents replaced."
"/installer-tivimate-premium","Git route and sitemap","Historical 200","TiviMate installation","Close official-store guide equivalent exists."
"/configurer-iptv-smarters-pro","Git route and sitemap","Historical 200","IPTV Smarters setup","Close official-store guide equivalent exists."
"/guide-panel-revendeur","Baseline route and sitemap","200","Reseller panel guide","Close panel-workflow equivalent exists."
"/rentabilite-revendeur-iptv","Baseline route and sitemap","200","Reseller calculator","Close calculator equivalent exists."
"/devenir-revendeur","Baseline route","200","Become reseller","Close UK application equivalent exists."
"/meilleur-panel-revendeur-iptv","Baseline route and sitemap","200","Panel selection","Consolidated into reseller-panel page."
"/ressources","Git route and sitemap","Historical 200","Resource hub","Close guides hub equivalent exists."
"/tutoriels","Baseline route","200","Tutorial hub","Close guides hub equivalent exists."
"/eviter-coupures-iptv","Git route and sitemap","Historical 200","Anti-blocking/evasion-adjacent","Unsafe and no equivalent."
"/quel-operateur-bloque-iptv","Git route and sitemap","Historical 200","ISP blocking/evasion","Unsafe and no equivalent."
"/revendeur-iptv-suisse","Git route and sitemap","Historical 200","Swiss reseller sales","Wrong market; no UK redirect."
"/legalite-revente-iptv-france","Baseline route and sitemap","200","French legality","Different jurisdiction; no UK legal redirect."
"/meilleur-fournisseur-iptv","Git route and sitemap","Historical 200","Self-serving provider comparison","No equivalent by policy."
"/comment-trouver-clients-iptv","Baseline route and sitemap","200","Customer acquisition","No close core equivalent."
"/infrastructure-serveur","Baseline route","200","Unverified infrastructure/anti-ISP claims","Unsafe and no verified equivalent."
"/cgv","Baseline route","200","French sale terms","Different jurisdiction and missing owner terms."
"/conditions-generales","Baseline route","200","French website terms","Different jurisdiction."
"/mentions-legales","Baseline route","200","French legal notice","Different jurisdiction and incomplete entity data."
"/politique-de-confidentialite","Baseline route","200","French privacy policy","Different language/jurisdiction disclosure."
