file,line,term,context,classification,notes
AGENTS.md,5,anti-block,"- Do not publish evasion, anti-blocking, sideloading, Downloader-code or unofficial APK content.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
AGENTS.md,5,sideloading,"- Do not publish evasion, anti-blocking, sideloading, Downloader-code or unofficial APK content.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
AGENTS.md,5,unofficial APK,"- Do not publish evasion, anti-blocking, sideloading, Downloader-code or unofficial APK content.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
__tests__/routes.test.ts,38,sideloading,"expect(pages[7]).toContain('does not use Developer Options, sideloading, Downloader codes');",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
__tests__/routes.test.ts,38,Downloader code,"expect(pages[7]).toContain('does not use Developer Options, sideloading, Downloader codes');",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
__tests__/routes.test.ts,42,zero buffering,"expect(combined).not.toMatch(/(?:99\.9%|20,000\+|100,000\+|zero buffering|anti-freeze|guaranteed income)/i);",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
__tests__/routes.test.ts,42,guaranteed income,"expect(combined).not.toMatch(/(?:99\.9%|20,000\+|100,000\+|zero buffering|anti-freeze|guaranteed income)/i);",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/contact/index.html,1,every channel,"estion</h2><p>A concise, well-routed message is easier to act on than the same enquiry sent through every channel.</p></div><div class=""contact-routes""><article><span>01</span><div><h3>Reseller pricing</h3><p>Shar",FALSE POSITIVE,Review before publication.
dist/guides/fire-tv-setup/index.html,1,sideloading,"ficially supported player in the Amazon Appstore and set up authorised provider credentials without sideloading.""><link rel=""canonical"" href=""https://getiptvpanel.com/guides/fire-tv-setup""><link rel=""manifest"" h",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/fire-tv-setup/index.html,1,sideloading,"ficially supported player in the Amazon Appstore and set up authorised provider credentials without sideloading.""><meta property=""og:url"" content=""https://getiptvpanel.com/guides/fire-tv-setup""><meta property=""o",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/fire-tv-setup/index.html,1,sideloading,"ficially supported player in the Amazon Appstore and set up authorised provider credentials without sideloading.""><meta name=""twitter:image"" content=""https://getiptvpanel.com/og-card.png""><script type=""applicati",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/fire-tv-setup/index.html,1,sideloading,"ations listed for your device and region in the Amazon Appstore. It does not use Developer Options, sideloading, Downloader codes or installation packages from third-party websites.</p></div></section><section c",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/fire-tv-setup/index.html,1,Downloader code,"for your device and region in the Amazon Appstore. It does not use Developer Options, sideloading, Downloader codes or installation packages from third-party websites.</p></div></section><section class=""section sur",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/fire-tv-setup/index.html,1,sideloading,"tly unsupported. Ask the provider for a different officially supported device or player rather than sideloading.</div><div class=""card-grid card-grid-2 prose-actions""><a href=""https://wa.me/212782389820?text=Hel",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/index.html,1,Sideloading,"hero-copy""><p class=""eyebrow"">Official installation routes</p><h1>Set Up a Supported Player Without Sideloading</h1><p class=""hero-intro"">These guides explain player setup for credentials supplied by an authoris",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/guides/index.html,1,Downloader code,"ing-notice section-action""><strong>Support boundary</strong> These guides do not provide APK files, Downloader codes, free playlists, protected content, ISP-block evasion or unauthorised provider credentials.</div><",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/llms.txt,22,sideloading,"- No ISP-block evasion, sideloading, unofficial APK or protected-service logo guidance is published.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
dist/llms.txt,22,unofficial APK,"- No ISP-block evasion, sideloading, unofficial APK or protected-service logo guidance is published.",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/implementation-plan.md,24,anti-block,"- No French public copy, anti-blocking guidance, sideloading, protected-service logos, fake proof, invented pricing or unsupported righ",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/implementation-plan.md,24,sideloading,"- No French public copy, anti-blocking guidance, sideloading, protected-service logos, fake proof, invented pricing or unsupported rights/performance/profit cla",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/migration/old-url-inventory.csv,12,Anti-block,"""/eviter-coupures-iptv"",""Git route and sitemap"",""Historical 200"",""Anti-blocking/evasion-adjacent"",""Unsafe and no equivalent.""",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/migration/redirect-map.csv,12,Anti-block,"""/eviter-coupures-iptv"",""Historical 200"",""fr"",""Anti-blocking and evasion-adjacent"",""No URL-level data supplied"",""No URL-level data supplied"","""",""410"",""Unsafe",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,6,guaranteed profit,""",""Unknown"",""Unknown"",""Medium"",""Medium"",""Implemented"",""Reports an estimate from visitor inputs, not guaranteed profit.""",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,13,sideloading,"missing"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Low"",""High"",""Implemented"",""No Developer Options, sideloading or Downloader-code instructions.""",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,14,bypass ISP,"""Evasion intent"",""bypass ISP"",""anti block; anti-block; unblock provider"",""Evasion"","""",""Embedded rejection rules"",""Unknown"",""Unkn",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,14,anti block,"""Evasion intent"",""bypass ISP"",""anti block; anti-block; unblock provider"",""Evasion"","""",""Embedded rejection rules"",""Unknown"",""Unknown"",""Unknown",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,14,anti-block,"""Evasion intent"",""bypass ISP"",""anti block; anti-block; unblock provider"",""Evasion"","""",""Embedded rejection rules"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,14,unblock provider,"""Evasion intent"",""bypass ISP"",""anti block; anti-block; unblock provider"",""Evasion"","""",""Embedded rejection rules"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""None"",""Critical"",",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,15,free M3U,"""Unauthorised acquisition"",""free M3U"",""Downloader code; sideload APK; unofficial APK"",""Unauthorised acquisition"","""",""Embedded rejection",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
docs/seo/keyword-map.csv,15,Downloader code,"""Unauthorised acquisition"",""free M3U"",""Downloader code; sideload APK; unofficial APK"",""Unauthorised acquisition"","""",""Embedded rejection rules"",""Unknown"",""",VALID EDUCATIONAL CONTEXT,"Warning, disclaimer, policy or removal context; not a promotional claim."
