old_url,old_status,old_language,old_intent,old_traffic_evidence,old_link_evidence,new_url,action,reason,expected_status,tested_status,redirect_hops,notes
"/","Historical 200","fr","French reseller sales homepage","Owner states poor prior performance; no Search Console export supplied","Owner states no meaningful backlinks; no link export supplied","/","KEEP","Retain root URL and replace content with UK B2B proposition","200","200 production build",0,"No redirect."
"/contact","Historical 200","fr","Contact","No URL-level data supplied","No URL-level data supplied","/contact","KEEP","Same route and close contact intent; content replaced","200","200 production build",0,"No redirect."
"/installer-tivimate-premium","Historical 200","fr","TiviMate installation","No URL-level data supplied","No URL-level data supplied","/guides/tivimate-setup","308","Close official-store setup equivalent","308","308 production-like preview",1,"Direct destination and H1 tested; verify at Vercel edge."
"/configurer-iptv-smarters-pro","Historical 200","fr","IPTV Smarters setup","No URL-level data supplied","No URL-level data supplied","/guides/iptv-smarters-setup","308","Close official-store setup equivalent","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/guide-panel-revendeur","Historical 200","fr","Reseller panel guide","No URL-level data supplied","No URL-level data supplied","/reseller-panel","308","Close panel workflow equivalent","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/rentabilite-revendeur-iptv","Historical 200","fr","Reseller calculator","No URL-level data supplied","No URL-level data supplied","/profit-calculator","308","Close transparent calculator equivalent","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/devenir-revendeur","Historical 200","fr","Become a reseller","No URL-level data supplied","No URL-level data supplied","/become-a-reseller","308","Close UK reseller application equivalent","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/meilleur-panel-revendeur-iptv","Historical 200","fr","Panel selection","No URL-level data supplied","No URL-level data supplied","/reseller-panel","308","Consolidated close intent without doorway page","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/ressources","Historical 200","fr","Resource hub","No URL-level data supplied","No URL-level data supplied","/guides","308","Close guide-hub equivalent","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/tutoriels","Historical 200","fr","Tutorial hub","No URL-level data supplied","No URL-level data supplied","/guides","308","Close guide-hub equivalent","308","308 production-like preview",1,"Direct; verify at Vercel edge."
"/eviter-coupures-iptv","Historical 200","fr","Anti-blocking and evasion-adjacent","No URL-level data supplied","No URL-level data supplied","","410","Unsafe intent with no lawful equivalent","410","410 production-like preview",0,"No redirect."
"/quel-operateur-bloque-iptv","Historical 200","fr","ISP blocking and evasion","No URL-level data supplied","No URL-level data supplied","","410","Unsafe intent with no lawful equivalent","410","410 production-like preview",0,"No redirect."
"/revendeur-iptv-suisse","Historical 200","fr","Swiss reseller sales","No URL-level data supplied","No URL-level data supplied","","410","Different market and no close UK equivalent","410","410 production-like preview",0,"No homepage redirect."
"/legalite-revente-iptv-france","Historical 200","fr","French legality","No URL-level data supplied","No URL-level data supplied","","410","Different jurisdiction; must not redirect to UK legal content","410","410 production-like preview",0,"No redirect."
"/meilleur-fournisseur-iptv","Historical 200","fr","Self-serving provider comparison","No URL-level data supplied","No URL-level data supplied","","410","No defensible close equivalent","410","410 production-like preview",0,"No redirect."
"/comment-trouver-clients-iptv","Historical 200","fr","Customer acquisition","No URL-level data supplied","No URL-level data supplied","","410","No close current equivalent","410","410 production-like preview",0,"No redirect."
"/infrastructure-serveur","Historical 200","fr","Unverified infrastructure claims","No URL-level data supplied","No URL-level data supplied","","410","Unsupported claims and no verified equivalent","410","410 production-like preview",0,"No redirect."
"/cgv","Historical 200","fr","French sale terms","No URL-level data supplied","No URL-level data supplied","","410","Different jurisdiction and incomplete entity data","410","410 production-like preview",0,"No UK legal redirect."
"/conditions-generales","Historical 200","fr","French website terms","No URL-level data supplied","No URL-level data supplied","","410","Different language and jurisdiction","410","410 production-like preview",0,"No UK legal redirect."
"/mentions-legales","Historical 200","fr","French legal notice","No URL-level data supplied","No URL-level data supplied","","410","Different jurisdiction and business identity unknown","410","410 production-like preview",0,"No UK legal redirect."
"/politique-de-confidentialite","Historical 200","fr","French privacy policy","No URL-level data supplied","No URL-level data supplied","","410","Different language and disclosure scope","410","410 production-like preview",0,"No UK legal redirect."
